q_number,var_name,raw_col_name,q_text_uz,section,q_type,response_options,valid_min,valid_max,skip_condition,analytic_role,notes
1.2,gender,1.2. Респондент жинси,Респондент жинси,block1,single_choice,male|female,,,always,demographic,Filled by interviewer observation — not asked directly; key stratifier
1.3,marital_status,1.3. Оилавий ҳолатингиз:,Оилавий ҳолатингиз,block1,single_choice,never_married|married|widowed_divorced,,,always,demographic,3-category; widowed and divorced collapsed in questionnaire
1.4,education,1.4. Маълумотингиз:,Маълумотингиз,block1,single_choice,secondary|vocational|higher,,,always,demographic,3-level ordinal; secondary = school/lyceum; vocational = college/technikum; higher = bachelor/master+
1.5,employment,1.5. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди?,Бандлик ҳолатингиз,block1,single_choice,government|private|self_employed|student|pensioner|unemployed|homemaker|hard_to_say|other,,,always,demographic,Single choice; construct employed_binary = 1 if government|private|self_employed
1.5.1,employment_other,1.5.1. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди? (Бошқа),Бандлик ҳолати (Бошқа),block1,open_text,,,,employment == 'other',open_text,Code recurring values back into employment categories before analysis
1.6,hh_size,1.6 Уй хўжалигингиз жами аъзолари сони нечта?,Уй хўжалиги жами аъзолари сони,block1,numeric,,1,20,always,demographic,Must be >= 1; cross-check: hh_workers <= hh_size
1.7,hh_workers,1.7. Уй хўжалигингизда неча киши даромадли меҳнат (иш) билан банд?,Уй хўжалигида даромадли меҳнатда банд кишилар сони,block1,numeric,,0,20,always,demographic,Must be >= 0 and <= hh_size; dependency ratio = (hh_size - hh_workers) / hh_size
1.8,children_under18,1.8. 18 ёшга етмаган фарзандларингиз сони?,18 ёшга етмаган фарзандлар сони,block1,numeric,,0,15,always,demographic,0 if none; cross-check: plausible given respondent age
1.9,income_sources,1.9. Сиз асосан нималардан доимий даромад топасиз?,Асосий даромад манбалари (бир нечта),block1,multi_select,salary|self_employment|remittances|pension|scholarship|rental|agriculture|seasonal|none|other,,,always,demographic,No stated maximum; expands to 10 dummy columns; 'none' and 'other' are exclusive options — validate mutual exclusivity with 'none'
1.9.1,income_sources_other,1.9.1. Сиз асосан нималардан доимий даромад топасиз?  (Бошқа),Бошқа даромад манбаи,block1,open_text,,,,income_sources__other == 1,open_text,Code recurring values; common: domestic work / gig economy
1.10,hh_income_cat,1.10. Уй хўжалигингиз аъзоларининг жами ойлик даромади?,Уй хўжалиги жами ойлик даромади,block1,single_choice,lt5m|5to10m|10to20m|20to50m|gt50m|hard_to_say,,,always,demographic,Ordinal income bands in million UZS; derive income_midpoint_mln_uzs (see derived section); 'hard_to_say' → NA for midpoint
2.1,credit_purpose_matrix,(matrix dummy block — stems: N-2.1. [question text]/[option label]),Қандай мақсадларда қарз олиш мақсадга мувофиқ? (матрица),block2,matrix,rows: daily_expenses|healthcare_education|mobile_phone|mortgage_renovation|auto|wedding|appliances_furniture|debt_repayment|business|other_purposes; cols: appropriate|not_appropriate,,,always,attitudinal,Matrix: 10 items × 2 response columns; max 3 'appropriate' selections per respondent (cardinality rule); expands to 20 dummy columns; exclude from blanket 0/1 binary conversion — process as matrix
2.2,credit_source_primary,2.2. Қўшимча маблағ зарур бўлганда биринчи бўлиб қаерга ёки кимга мурожаат қиласиз?,Қўшимча маблағ зарур бўлганда мурожаат қилинадиган жой (3 тагача),block2,multi_select,banks|formal_installment|informal_installment|street_lenders|mfi|pawnshop|family_friends|other|no_credit,,,always,covariate,Max 3 selections; triggers conditional follow-up questions 2.2.a/б/в/г based on selection; 'no_credit' triggers 2.2.г
2.2.1,credit_source_primary_other,2.2.1. Қўшимча маблағ зарур бўлганда асосан қаерга ёки кимга мурожаат қиласиз? (Бошқа манба),Бошқа манба (2.2),block2,open_text,,,,credit_source_primary__other == 1,open_text,
2.2.a,informal_reason,"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)",Норасмий қарзга мурожаат сабаблари,block2,multi_select,easy_fast|interest_free|no_formal_income_needed|religious|bad_credit_history|banks_too_expensive|other,,,credit_source_primary__informal_installment == 1 OR credit_source_primary__street_lenders == 1 OR credit_source_primary__family_friends == 1,covariate,"Conditional on selecting informal sources in Q2.2; expands to 7 dummy columns | PARSING: Option 'Диний сабаблар туфайли (рибо/фоиздан сақланиш)' creates false sub-stem. In 01_ingest.R: detect by stem containing 'рибо', merge back into main 6-option block as 'religious' dummy."
2.2.a.1,informal_reason_other,2.2.а.1. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (Бошқа),Норасмий сабаб (Бошқа),block2,open_text,,,,informal_reason__other == 1,open_text,
2.2.b,bank_reason,2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади),Тижорат банкига мурожаат сабаблари,block2,multi_select,clear_legal|builds_credit_history|lower_interest|has_contact_in_bank|large_amount_easier|convenient_online|long_term_available|other,,,credit_source_primary__banks == 1,covariate,Conditional on selecting banks in Q2.2; expands to 8 dummy columns
2.2.b.1,bank_reason_other,2.2.б.1. Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (Бошқа),Банк сабаби (Бошқа),block2,open_text,,,,bank_reason__other == 1,open_text,
2.2.v,formal_other_reason,"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)",Бошқа расмий ташкилотга мурожаат сабаблари,block2,multi_select,easy_fast|interest_free|no_formal_income_needed|religious|bad_credit_history|other,,,credit_source_primary__formal_installment == 1 OR credit_source_primary__mfi == 1 OR credit_source_primary__pawnshop == 1,covariate,Conditional on selecting formal non-bank sources; expands to 6 dummy columns | PARSING: Option 'Диний сабаблар туфайли (рибо/фоиздан сақланиш)' also creates false sub-stem in this block. Merge similarly to informal_reason.
2.2.v.1,formal_other_reason_other,NOT IN RAW — no separate (Boшқa) text column for 2.2.в in CAPI export,Бошқа расмий сабаб (Бошқа),block2,open_text,,,,formal_other_reason__other == 1,open_text,
2.2.g,no_credit_reason,"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?",Қарз олмасликни афзал кўриш сабаблари,block2,multi_select,distrust_institutions|fear_debt_trap|unstable_income|sufficient_savings|hard_paperwork|bad_experience_around|dont_understand_terms|religious|family_opposition|other,,,credit_source_primary__no_credit == 1,covariate,"Conditional on selecting 'no credit' in Q2.2; expands to 10 dummy columns; financial exclusion barrier indicators | PARSING: Option 'Оилам/яқинларим қарши' creates false sub-stem. Detect by 'Оилам' stem, merge back into main block as 'family_opposition' dummy."
2.2.g.1,no_credit_reason_other,"2.2.г.1 Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?(Бошқа)",Қарз олмаслик сабаби (Бошқа),block2,open_text,,,,no_credit_reason__other == 1,open_text,
2.3,credit_pref_matrix,(matrix dummy block — stems: N-2.3 [question text]/[option label]),Қарз олиш афзал кўриладиган манба × миқдор матрицаси,block2,matrix,rows: formal_bank|formal_installment|informal_installment|street_lenders|mfi|pawnshop|family_friends|other; cols: lt5m|5to20m|20to50m|50to100m|gt100m,,,always,attitudinal,Complex matrix: 8 sources × 5 amount bands; expands to ~40 dummy columns; 'no_credit' row triggers 2.3.a; analyse as conditional preference by amount band
2.3.a,no_credit_reason_2,NOT IN RAW — Q2.3.a conditional trigger; no separate column in CAPI export,Нега қарз олмасликни афзал кўрасиз (2.3 дан),block2,multi_select,distrust_institutions|fear_debt_trap|unstable_income|sufficient_savings|hard_paperwork|bad_experience_around|dont_understand_terms|religious|family_opposition|other,,,credit_pref_matrix__no_credit selected in any amount band,covariate,Same options as 2.2.г; triggered by 'no credit' selection in matrix Q2.3
2.4,has_loan_type,"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?",Бугунги кунда қарз/кредит/насия мавжудми?,block2,single_choice,own_for_self|own_for_others|others_for_self|no,,,always,gate,CRITICAL GATE VARIABLE. 4-category — do NOT collapse to binary without preserving sub-types. own_for_others = straw borrower (high risk). others_for_self = informal name-lending. 'no' routes to Q3.1/3.2/3.3 only then terminates.
2.4.1,n_loans,2.4.1. Бугунги кунда номингизда нечта кредит/қарз/насия бўйича тўловларни амалга оширяпсиз?,Нечта кредит/қарз бўйича тўловлар амалга оширилаяпти?,block2,numeric,,1,20,has_loan_type != 'no',primary_outcome,"Count of active loans; n_loans > 1 indicates multiple-debt burden; used to construct multi_debt_flag | PARSING: col header contains 'кредит/қарз/насия' — CAPI creates false dummy split. Full raw col: '2.4.1. ...нечта кредит/қарз/насия бўйича тўловларни амалга оширяпсиз?' In 01_ingest.R: detect by stem '2.4.1.' prefix, reconstruct, read as single numeric column."
2.4.2,dsr_cat,2.4.2. Таҳминан оилавий даромадингизнинг қанча қисми (неча фоизи) қарзни қайтариш учун сарфланади?,Оилавий даромаднинг қарзга кетадиган улуши,block2,single_choice,lt10pct|10to20pct|20to35pct|35to50pct|gt50pct|hard_to_say,,,has_loan_type != 'no',primary_outcome,Debt service ratio (categorical); derive dsr_midpoint; gt50pct = over-indebtedness threshold per CBU standards; 'hard_to_say' → NA
2.4.3,financial_buffer,"2.4.3. Агар даромадсиз қолсангиз, неча ой давомида кредит/қарз/насия тўловларини амалга ошириш имкониятига эгасиз?",Даромадсиз неча ой тўлов амалга ошириш мумкин?,block2,single_choice,zero|1to2m|3to4m|5to6m|gt6m|hard_to_say,,,has_loan_type != 'no',primary_outcome,"PRESENT IN RAW (false dummy split). Col header contains 'кредит/қарз/насия' — CAPI splits at '/'. Raw col: '2.4.3. Агар даромадсиз қолсангиз, неча ой давомида кредит/қарз/насия тўловларини амалга ошириш имкониятига эгасиз?' In 01_ingest.R: detect by stem '2.4.3.' prefix, reconstruct, read as single_choice column."
2.4.4,income_variability,2.4.4. Даромадингиз ойма-ой қай даражада ўзгариб туради?,Даромад ойма-ой қай даражада ўзгариб туради?,block2,single_choice,stable|somewhat_variable|highly_variable|hard_to_say,,,has_loan_type != 'no',covariate,Income stability indicator; highly_variable + high DSR = compound vulnerability
2.5,credit_source_actual,"2.5. Қарз, кредит, насия қайси манбадан олинган?",Қарз қайси манбадан олинган? (бир нечта),block2,multi_select,commercial_bank|formal_installment|mfi|pawnshop|street_lenders|family_friends|other,,,has_loan_type != 'no',covariate,Multi-select actual source; expands to 7 dummy columns; derive credit_formality (formal_bank | formal_other | informal | mixed)
2.5.1,credit_source_actual_other,"2.5.1 Қарз, кредит, насия қайси манбадан олинган? (Бошқа)",Бошқа манба (2.5),block2,open_text,,,,credit_source_actual__other == 1,open_text,Code recurring values into credit_source_actual categories
2.6,borrow_motivation,"2.6. Қарз, кредит, насия нима сабабдан олинган?",Қарз олишнинг умумий сабаби,block2,single_choice,crisis_necessity|improve_lifestyle,,,has_loan_type != 'no',covariate,Binary motivation split; crisis_necessity = defensive borrowing; improve_lifestyle = aspirational
2.7,loan_purpose,"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?",Қарзнинг асосий мақсади (бир нечта),block2,multi_select,daily_expenses|healthcare|appliances|auto|education|wedding|mortgage|renovation|debt_repayment|migration_work|business|family_entrepreneurship|help_relatives|other,,,has_loan_type != 'no',primary_outcome,"Expands to 14 dummy columns; family_entrepreneurship triggers Q2.7.a/б/в; construct productive_use_flag (business|migration_work|family_entrepreneurship) | PARSING: Two options create false sub-stems: 'Маиший техника / уй жиҳозлари сотиб олиш' (appliances) and 'Қариндошларим / яқинларимга ёрдам бериш' (help_relatives). Detect by stems, merge into main 12-option block."
2.7.1,loan_purpose_other,"2.7.1 Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган? (Бошқа)",Қарз мақсади (Бошқа),block2,open_text,,,,loan_purpose__other == 1,open_text,
2.7.a,family_biz_reason,2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?,Оилавий тадбиркорлик кредити олиш сабаблари,block2,multi_select,business_idea|lower_interest|inspired_by_others|social_pressure|trusted_advice|other,,,loan_purpose__family_entrepreneurship == 1,covariate,Conditional on selecting family_entrepreneurship in Q2.7; expands to 6 dummy columns
2.7.a.1,family_biz_reason_other,2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз? (Бошқа),Оилавий тадбиркорлик сабаби (Бошқа),block2,open_text,,,,family_biz_reason__other == 1,open_text,
2.7.b,family_biz_npl_reason,2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?,Оилавий тадбиркорлик кредитлари қайтарилмаслик сабаблари,block2,multi_select,income_below_expectations|business_failed|believed_state_loan_forgiven|diverted_to_consumption|misunderstood_terms|other,,,loan_purpose__family_entrepreneurship == 1,secondary_outcome,Expands to 6 dummy columns; key NPL driver analysis for state-sponsored SME credit
2.7.b.1,family_biz_npl_reason_other,2.7.б.1 Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?(Бошқа),Оилавий тадбиркорлик NPL сабаби (Бошқа),block2,open_text,,,,family_biz_npl_reason__other == 1,open_text,
2.7.v,family_biz_support,"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?",Оилавий тадбиркорлик кредитлари учун зарур ёрдам чоралари,block2,multi_select,business_training|flexible_schedule|staged_disbursement|business_plan_help|strengthen_oversight|cash_and_card|other,,,loan_purpose__family_entrepreneurship == 1,secondary_outcome,Policy intervention preferences; expands to 7 dummy columns | PARSING: Option 'Бизнес кўникмалари бўйича ўқув/тренинглар' creates false sub-stem. Detect and merge as 'business_training' dummy.
2.7.v.1,family_biz_support_other,"2.7.в.1 Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?  (Бошқа)",Зарур ёрдам (Бошқа),block2,open_text,,,,family_biz_support__other == 1,open_text,
2.8,loan_used_as_intended,"2.8 Қарз (кредит, насия) мақсадли ишлатдингизми?",Қарз мақсадли ишлатилдими?,block2,single_choice,yes|no|hard_to_say,,,has_loan_type != 'no',secondary_outcome,Loan diversion indicator; 'no' triggers Q2.8.a; hard_to_say → treat as missing in analysis
2.8.a,loan_diversion_purpose,2.8.а Агар йўқ бўлса қайси мақсадда ишлатдингиз?,Қарз қайси мақсадда ишлатилди (агар мақсадсиз бўлса),block2,open_text,,,,loan_used_as_intended == 'no',open_text,Thematic coding needed; common categories: consumption / other debt repayment / family expenses
2.9,loan_channel,"2.9. Қарз (кредит, насия) қайси кўринишда олинган?",Қарз қандай олинган?,block2,single_choice,online|offline,,,has_loan_type != 'no',covariate,Digital finance adoption indicator; online = app/website/USSD
2.10,loan_decision_factor,"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?",Кредит олишга таъсир қилган омиллар (бир нечта),block2,multi_select,necessity|incentive_available|recommendation|government_recommendation|fraud|build_credit_history|inflation_fear|other,,,has_loan_type != 'no',covariate,Expands to 8 dummy columns; 'fraud' flag = potential mis-selling or coercive lending — flag for separate analysis
2.10.1,loan_decision_other,"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди? (Бошқа)",Кредит олиш омили (Бошқа),block2,open_text,,,,loan_decision_factor__other == 1,open_text,
3.1,peers_repay_behavior,"3.1. Атрофингиздаги одамлар қарз (кредит, насия)ларини ўз вақтида тўлаяпти деб ўйлайсизми?",Атрофдагилар кредитни вақтида тўлаяптими?,block3,single_choice,on_time|some_delays|serious_problems|hard_to_say,,,always,attitudinal,ALL respondents (borrowers + non-borrowers); social norms perception; hard_to_say → NA
3.2,justified_nonpayment,"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?",Кредитни кечиктириш/тўламаслик учун узрли сабаблар,block3,multi_select,salary_delay|straw_borrower_not_my_debt|fraud_in_my_name|income_loss|legal_dispute|unexpected_expenses|other_debts|forgot|not_necessary_to_repay|other,,,always,attitudinal,ALL respondents; moral hazard / repayment culture indicator; 'not_necessary_to_repay' = strong moral hazard flag; expands to 10 dummy columns
3.2.1,justified_nonpayment_other,"3.2.1. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин? (Бошқа)",Узрли сабаб (Бошқа),block3,open_text,,,,justified_nonpayment__other == 1,open_text,
3.3,notify_matrix,(matrix dummy block — stems: N-3.3 [question text]/[option label]),Кредит кечиктирилганда хабардор қилиш тавсия этилади? (матрица),block3,matrix,rows: guarantor|spouse|parents|adult_children|other_family|employer_coworker|close_friend; cols: appropriate|not_appropriate,,,always,attitudinal,ALL respondents; 7 contacts × 2 columns matrix; expands to 14 dummy columns; exclude from blanket binary conversion — process as matrix; social enforcement norms indicator
3.4,contract_read,"3.4. Қарз (кредит, насия) олишдан аввал тузилган шартнома билан танишганмисиз?",Шартнома билан олдиндан танишдингизми?,block3,single_choice,yes_fully|yes_partially|no,,,has_loan_type != 'no',financial_literacy,Financial literacy component 1 of 4; yes_fully = 2 / yes_partially = 1 / no = 0 for scoring
3.5,terms_understood,"3.5. Қарз (кредит, насия) олишдан аввал унинг шартлари, шу жумладан, фоиз тўловларини тўлиқ тушунганмисиз?",Кредит шартлари ва фоизларни тушундингизми?,block3,single_choice,yes|thought_so_but_paid_more|no,,,has_loan_type != 'no',financial_literacy,Financial literacy component 2 of 4; 'thought_so_but_paid_more' = financial surprise / hidden cost indicator
3.6,bank_explained_terms,"3.6. Қарз (кредит, насия) олишдан аввал кредит шартлари, шу жумладан, фоиз тўловлари юзасидан банк ҳодимлари/қарз берувчи шахслар тушунтириш берганми?",Банк ходимлари кредит шартларини тушунтирдими?,block3,single_choice,yes_fully|partially|no,,,has_loan_type != 'no',secondary_outcome,"Consumer protection / disclosure quality indicator — supply-side measure; distinct from Q3.5 (demand-side understanding) | PARSING: Q text 'банк ходимлари/қарз берувчи шахслар' → CAPI false dummy split (1 col). Reconstruct full header using stem '3.6. ...' + option 'қарз берувчи шахслар тушунтириш берганми?'. This is single_choice, not binary — identify by '3.6.' prefix only."
3.7,repayment_difficulty_reason,"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?",Кредитни тўлаш имконияти бўлмаган сабаблар,block3,multi_select,income_decreased|salary_delayed|diverted_to_other_debt|seasonal_income|overestimated_repayment_ability|social_norm_not_paying|no_consequences_belief|pay_when_able_belief|unexpected_expenses|bank_error|hidden_contract_conditions|fraud_registered_in_name|unfair_pricing|no_credit_ever|always_pay_on_time|hard_to_say|other,,,has_loan_type != 'no',primary_outcome,"Shown to ALL borrowers — includes 'always_pay_on_time' and 'no_credit_ever' as factual anchors. Expands to 17 dummy columns. 'no_consequences_belief' and 'pay_when_able_belief' = moral hazard flags. 'fraud_registered_in_name' = separate legal/fraud category. | PARSING: Option 'Даромадларим мавсумий/доимий эмас' (seasonal_income) creates false sub-stem. Detect by 'мавсумий' in stem, merge into main 16-option block."
3.7.1,repayment_difficulty_other,"3.7.1 Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган? (Бошқа)",Тўламаслик сабаби (Бошқа),block3,open_text,,,,repayment_difficulty_reason__other == 1,open_text,
3.8,acceptable_delay_days,"3.8. Сизнингча қарз (кредит, насия) тўловини неча кунга кечиктириш мумкин (нормал ҳолат) деб биласиз?",Неча кунга кечиктириш нормал деб ҳисоблайсиз?,block3,single_choice,none|1to7|8to30|gt30|no_need_to_pay,,,has_loan_type != 'no',attitudinal,Tolerance for delay indicator; 'no_need_to_pay' = extreme moral hazard; construct delay_tolerance_score (none=0 / 1to7=1 / 8to30=2 / gt30=3 / no_need=4)
3.9,repayment_priority,"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак ҳисоблайсиз?",Биринчи навбатда қайси қарзлар тўланиши керак?,block3,multi_select,banks|family_friends|street_lenders|formal_installment|informal_installment|mfi,,,has_loan_type != 'no',attitudinal,Max 2 selections (cardinality rule); debt prioritization norms; formal vs informal repayment ethic
3.10,used_straw_borrower,"3.10. Қарзларингиз (кредит, насия) кўпайиб, янги кредит олишда қийинчиликка дуч келган пайтингизда, яқинларингиз номига кредит расмийлаштирганмисиз?",Яқинларингиз номига кредит расмийлаштирдингизми?,block3,single_choice,yes|no|hard_to_remember,,,has_loan_type != 'no',primary_outcome,Straw borrower usage — key credit risk and regulatory evasion indicator for CBU; 'hard_to_remember' → treat as missing or conservative 'no' in analysis; must cross-check against has_loan_type == 'own_for_others'
3.11,reminders_per_month,"3.11. Қарз (кредит, насия) тўловлари кечиктирилган вақти 1 ойда неча маротаба эслатма юборилган?",Кечиктирилган вақти 1 ойда неча маротаба эслатма юборилган?,block3,single_choice,none|1to2|3to5|gt5,,,has_loan_type != 'no',secondary_outcome,Collection intensity indicator from lender side; cross-tabulate with collection_methods_received
3.11.1,collection_methods_received,3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?,Ундириш жараёнида қайси усуллар қўлланилган?,block3,multi_select,sms|calls|bank_visit|mib_officer_visit|guarantor_contact|official_warning_letter|court_proceedings|collateral_action|none,,,has_loan_type != 'no',secondary_outcome,"Expands to 9 dummy columns; note: numbered 3.12.1 in questionnaire but may appear as 3.11 in CAPI export — reconcile numbering. 'mib_officer_visit' = Ministry of Internal Affairs = coercive collection flag. | PARSING: '3.11.1. Кредит/қарз/насияни' → 2 additional false-split stems alongside correct 7-option block + 2 legitimate slash options (bank_visit, mib_officer_visit). In 01_ingest.R: use exact full stem match for the 7-option block; merge bank_visit and mib_officer_visit by their partial stems."
3.11.2,effective_reminder_method,3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?,Энг самарали эслатма воситаси,block3,multi_select,sms|calls|app_notification|messenger_telegram_whatsapp|guarantor_call|in_person|other|no_effect,,,has_loan_type != 'no',secondary_outcome,"Policy-relevant: informs CBU nudge/reminder intervention design; expands to 7 dummy columns | PARSING: Option 'Мессенжерлар (Telegram/WhatsApp) орқали эслатмалар' creates false sub-stem. Detect by 'Telegram' in stem, merge as 'messenger_telegram_whatsapp' dummy."
3.11.2.1,effective_reminder_other,3.11.2.1 Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар? (Бошқа),Самарали эслатма (Бошқа),block3,open_text,,,,effective_reminder_method__other == 1,open_text,
3.12,credit_score_motivates,3.12 Ўз вақтида кредитни тўлаш сизнинг кредит рейтингингизни ошириши мумкинлиги ҳақидаги маълумот олиш тўлов интизомини оширишга рағбатлантирадими?,Кредит рейтинги маълумоти тўлов интизомини оширадими?,block3,single_choice,yes_strongly|yes_partly|uncertain|no|not_aware_of_credit_score,,,has_loan_type != 'no',financial_literacy,Financial literacy component 3 of 4; 'not_aware_of_credit_score' = financial literacy gap; binary: aware = yes_strongly|yes_partly|uncertain|no; unaware = not_aware_of_credit_score
3.13,knows_delay_effect,3.13 Кечикиш кредит тарихига қандай таъсир қилишини биласизми?,Кечикиш кредит тарихига таъсирини биласизми?,block3,single_choice,yes_clearly|partly|no|hard_to_say,,,has_loan_type != 'no',financial_literacy,Financial literacy component 4 of 4; construct fin_lit_score from Q3.4 + Q3.5 + Q3.13 + Q3.14
3.14,loan_regret,"3.14 Қарз (кредит, насия) олганингиздан афсусланасизми?",Қарз олганингиздан афсусланасизми?,block3,single_choice,yes|no,,,has_loan_type != 'no',secondary_outcome,Borrower satisfaction / welfare indicator; cross-tab with dsr_cat and loan_purpose
3.15,repayment_culture_suggestions,3.15 Қарз олиш ва уни қайтариш маъданиятини шакллантириш билан боғлиқ таклиф ва фикрларингиз,Қарз олиш ва уни қайтариш маъданияти бўйича фикр ва таклиф,block3,open_text,,,,has_loan_type != 'no',open_text,Free text; thematic coding needed; do NOT include verbatim in published report (PII risk from specific descriptions)
3.16,phone_number,3.16 Респондент телефон рақами:,Респондент телефон рақами,block3,open_text,,,,has_loan_type != 'no',identifier,PII — must be separated from analytic dataset immediately on ingestion; store in separate encrypted PII table linked only by row_id
DERIVED,has_loan,DERIVED,Қарз мавжудлиги (бинар),derived,binary,0|1,0,1,always,gate,Derived: 1 if has_loan_type != 'no'; backward-compatible with current pipeline has_loan; use has_loan_type for any sub-type analysis
DERIVED,is_straw_borrower,DERIVED,Бошқа кишига кредит расмийлаштириш белгиси,derived,binary,0|1,0,1,has_loan == 1,primary_outcome,Derived: 1 if has_loan_type == 'own_for_others'; key CBU risk indicator; cross-check against Q3.10 used_straw_borrower
