"dummy_block","n_cols","any_matrix_words"
"1-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"10-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"2-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"2-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Оилам",1,FALSE
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Маиший техника ",1,FALSE
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Қариндошларим ",1,FALSE
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес кўникмалари бўйича ўқув",1,FALSE
"3-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"3-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/Банк ходимининг уйга",1,FALSE
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?/МИБ ходимининг уйга",1,FALSE
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Мессенжерлар (Telegram",1,FALSE
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?/Даромадларим мавсумий",1,TRUE
"4-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"4-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"5-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"5-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"6-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"6-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"7-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"7-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?",1,FALSE
"8-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"8-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"9-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
