row_id,rule_name,block_hint,n_selected
1813,Q2.2 max 3 selections,2.2.,4
1817,Q2.2 max 3 selections,2.2.,4
1820,Q2.2 max 3 selections,2.2.,4
1821,Q2.2 max 3 selections,2.2.,4
1822,Q2.2 max 3 selections,2.2.,5
1823,Q2.2 max 3 selections,2.2.,4
1825,Q2.2 max 3 selections,2.2.,4
1826,Q2.2 max 3 selections,2.2.,5
1832,Q2.2 max 3 selections,2.2.,5
1855,Q2.2 max 3 selections,2.2.,4
1856,Q2.2 max 3 selections,2.2.,4
1857,Q2.2 max 3 selections,2.2.,4
1860,Q2.2 max 3 selections,2.2.,4
1861,Q2.2 max 3 selections,2.2.,4
1906,Q2.2 max 3 selections,2.2.,5
2036,Q2.2 max 3 selections,2.2.,4
2081,Q2.2 max 3 selections,2.2.,4
2125,Q2.2 max 3 selections,2.2.,4
2127,Q2.2 max 3 selections,2.2.,4
1780,Q2.1 max 3 'appropriate' purposes,2.1.,4
1784,Q2.1 max 3 'appropriate' purposes,2.1.,4
